provider_id,provider_name,provider_type,address,phone,email
0,"Brown, Watkins and Rodriguez",Hospital,"138 Bennett Trace
New Russell, MA 98060",(271)651-6891,chaley@example.net
1,Clark-Harris,Hospital,"7649 Judith Grove
East Victorshire, AR 79923",(527)820-3392,thompsondaniel@example.com
2,Alexander-Haley,Doctor,"Unit 2759 Box 5511
DPO AP 85484",678.616.6308,nicoleortega@example.com
3,"Kelley, Becker and Torres",Hospital,"8733 Kyle Union
Port Lorraineland, GU 33866",727-741-8432,colleenchambers@example.net
4,Moore PLC,Doctor,"04100 Cheryl Fall
Bellside, CT 64887",841.786.5014x806,bartondaniel@example.net
5,"Wade, Solis and Palmer",Hospital,"22008 Sharon Highway Suite 250
Jenniferburgh, AZ 23892",+1-316-553-4171,daviskeith@example.org
6,Crawford-Gonzalez,Doctor,"097 Evans Hills
Bishopton, CT 42818",904-887-4812x1390,gonzalezcaitlyn@example.org
7,Newton Group,Hospital,"536 Mark Lake
New Elizabeth, WY 55954",401.839.5359,wrightscott@example.com
8,Owens PLC,Clinic,"322 Rodriguez Trail Suite 006
Lake Catherine, OK 24688",(749)995-4476x437,rubiodeborah@example.com
9,"Massey, Casey and Johnson",Clinic,"8448 Walker Streets
Gibsonborough, VT 49789",5183122653,harrissandra@example.org
10,Smith LLC,Hospital,"0094 Zachary Well Apt. 047
Deborahton, KY 93839",(366)287-2830x841,bennettnicholas@example.org
11,Donaldson-Pennington,Clinic,"51438 Chen Tunnel
South Monique, TN 59956",768.718.2831,angelazamora@example.org
12,Thomas-Ross,Hospital,"980 Jamie Burg
Fosterfurt, SD 68536",(319)340-0056x86751,kennedykristine@example.org
13,"Wilkerson, Valdez and Hernandez",Clinic,"64908 William Corners Apt. 181
East Deborah, FL 91105",(297)408-1571,diamond11@example.com
14,"Freeman, Johnson and Mooney",Doctor,"9567 Alexander Course
Davisview, ND 83749",(956)876-4814x00710,julia95@example.org
15,"Morales, Paul and Lucas",Clinic,"97358 Shaun Curve
Nelsonland, MD 25221",780-212-2811x3993,lewiskelly@example.org
16,Smith Ltd,Hospital,"31527 Stacy Forest
Brittanyhaven, VI 91620",695-233-5454x10472,vwilliams@example.net
17,Montgomery and Sons,Clinic,"706 James Lane Suite 400
New Ashley, PW 38056",001-620-474-9065x52463,michael54@example.com
18,Greer Inc,Clinic,"30283 Mitchell Parkways
Youngberg, PR 73190",001-338-883-0904x632,uolson@example.net
19,Barr-Williams,Doctor,"618 Tyler Street
New Amanda, AR 16108",001-554-443-5418,davisbenjamin@example.com
20,Torres Group,Doctor,"603 Powell Manors Suite 839
Princetown, AS 57635",(973)993-4300x6909,jennifer95@example.com
21,Rodgers PLC,Hospital,"Unit 6781 Box 7111
DPO AE 56603",001-613-619-4403x688,jesus06@example.com
22,James-Hernandez,Clinic,"39319 Marc Lights
North Angelaville, TX 39609",(278)859-8938,laura97@example.net
23,"Bryant, Porter and Rich",Doctor,"7818 Shawn Ports Suite 594
Lake Sally, MI 62888",+1-383-572-3080x75674,mmaxwell@example.org
24,Smith Ltd,Doctor,"956 Anna Hill
West Philip, ME 10049",701.432.6184x80534,ekim@example.net
25,Harding-Pennington,Clinic,"283 Hoover Forges Apt. 390
Geraldburgh, MD 93180",+1-992-964-5937x4343,wcruz@example.net
26,"Williams, Santos and Moon",Hospital,"6810 Jason Unions
Port Clinton, AL 10667",+1-434-310-3695x113,qheath@example.net
27,Hernandez-Proctor,Clinic,"213 Dorothy Manors Apt. 111
South Evanmouth, WI 79817",+1-840-455-3922x5843,jaredtorres@example.net
28,Macias-Schmitt,Clinic,"10404 Williams Village
South Danielshire, UT 02941",001-408-285-6140x1617,donaldgibson@example.com
29,Wilson Group,Doctor,"156 Romero Pike
West Jenniferport, ME 32986",660-977-0336x6353,lewisjames@example.org
30,Castro-Miller,Hospital,"609 Perez Club Apt. 464
Cantrellstad, MA 19215",2172400939,kpatel@example.net
31,"Davis, Cross and Maddox",Clinic,"726 Christie Roads Apt. 071
Kingfurt, ID 82544",335.353.4638,sbuck@example.net
32,Frye-Greene,Hospital,"74733 Roth Parks
Brandonbury, CA 07833",001-457-996-8696,wrodgers@example.com
33,"Bennett, Haynes and Lewis",Hospital,"345 Michael Neck Suite 385
North Davidport, NC 44769",(414)679-0098x4585,harrisanthony@example.com
34,Martinez Inc,Clinic,"Unit 8992 Box 0428
DPO AP 54290",001-234-790-9431,angelawilliams@example.com
35,Smith-Barnes,Hospital,"Unit 2155 Box 6542
DPO AA 54091",990-543-9776x807,rebeccagarcia@example.net
36,"Payne, Johnson and Decker",Hospital,"41985 Carl Dale Apt. 885
Lake Isaac, IA 76497",+1-824-844-9478x11193,erinmercado@example.org
37,Wolfe PLC,Clinic,"90127 Carmen Run
Brandonstad, MO 24612",360-639-8516,npeterson@example.net
38,"Ward, Harmon and Green",Doctor,"88501 Cox Vista Suite 260
New Rebecca, MO 07104",548-922-5691x345,robertsonbruce@example.com
39,Hardy-Kelley,Clinic,"08994 Charles Loop Suite 876
West Brandy, VT 84176",(808)254-3205x40655,kathleen08@example.net
40,"Robinson, Jones and Mason",Doctor,"Unit 4382 Box 5496
DPO AP 31580",314-216-2740x30873,nsherman@example.org
41,Bell-Pena,Clinic,"253 Stephen Villages Apt. 245
Brittneyhaven, OR 18559",001-587-674-4314x79962,vpacheco@example.net
42,Conley-Glenn,Doctor,"3147 Tiffany Crossing Suite 849
Luceroshire, NM 97269",226.490.3323x548,sydneyjohnson@example.net
43,"Sanchez, Hayden and Ruiz",Clinic,"10445 James Mews
Toddmouth, KY 43993",4616119316,ksmith@example.net
44,"Bryant, Lee and Rogers",Hospital,"3792 Golden Passage Apt. 223
Davidhaven, WV 10859",574.500.6570x73004,turnermatthew@example.com
45,"Kline, Smith and Mcgee",Hospital,"92845 Jessica Crescent Suite 034
New Brittany, PW 74346",001-919-473-3210x322,woodardgeorge@example.com
46,"Garcia, Carr and Hayes",Doctor,"PSC 3897, Box 9437
APO AE 27162",979.863.3662,emartinez@example.net
47,Allen Inc,Clinic,"98015 Norris Locks Suite 605
Catherineborough, WV 17106",483-560-3270,jade00@example.org
48,"Holmes, Thompson and Alvarez",Doctor,"900 Christina Union Apt. 201
Williamsland, PA 59929",+1-828-781-6990,taylorwarner@example.com
49,Castaneda LLC,Hospital,"0824 Boyle Landing Suite 437
Lake Samuelside, IN 60073",001-827-760-2148x61857,davidrollins@example.com
50,Jackson-Johnson,Hospital,"2820 Rachel Stream Suite 451
New Amberport, FM 89299",932.233.3887,carpenterluke@example.org
51,Henderson and Sons,Clinic,"044 Gonzalez Landing Apt. 129
Port Christina, GU 90424",437.557.4137x77779,william33@example.com
52,"Edwards, Mann and Combs",Clinic,"8855 Ochoa Field Apt. 222
Ericamouth, AL 93115",(389)260-3537x2659,mitchell72@example.org
53,Baker-Herman,Hospital,"77444 Thomas Locks
Crawfordfort, OK 41502",3346772515,melindaday@example.net
54,Knox-Oconnor,Hospital,"18831 Matthew Orchard Suite 545
Morrisonbury, VA 46043",+1-827-750-7924x4961,mvargas@example.net
55,Singh Ltd,Doctor,"11285 Brandy Gardens
New Stephen, NM 84625",(947)265-9741,peckmary@example.com
56,Knight-Brown,Doctor,"14721 Chad Plains Suite 867
Lake Carrie, KS 85424",+1-424-337-9690,whitney81@example.com
57,"Terrell, Richardson and Harper",Clinic,"53759 Moody Branch Apt. 653
West Karen, NV 80092",928.577.6149,matthew86@example.org
58,Flowers LLC,Doctor,"55132 Wilson Parks Suite 109
West Jamieshire, VI 59195",(667)527-8461,pturner@example.net
59,"Cook, Perez and Jones",Doctor,"134 Adam Mountains Apt. 796
North Mark, IA 27168",(679)960-5232x68296,luiscarroll@example.org
60,"Anderson, Elliott and Erickson",Hospital,"528 Jesse Greens Suite 647
Sandovalland, MH 16306",730-383-7448,lisalee@example.org
61,"Pearson, Norris and Lara",Hospital,"05409 Hall Shoal Apt. 218
Orozcostad, MH 40582",297.387.5075,ronaldwright@example.org
62,Boone-Jackson,Hospital,"73668 Angela Parks
Natalieburgh, IA 10159",(234)287-1942x46910,justin18@example.net
63,Herrera Group,Doctor,"0026 Melvin Keys
South Tannerville, UT 72319",409-309-9360x02516,sandrasmith@example.org
64,"Boyd, Lee and Thomas",Doctor,"74706 Spencer Park Apt. 822
New Aaronfurt, DC 84412",001-562-233-8037x9627,evanscarlos@example.org
65,Peterson Inc,Doctor,"PSC 2186, Box 4541
APO AA 23598",(291)310-4248x6929,xlarsen@example.org
66,Baker Group,Clinic,"0471 Kristy Underpass Apt. 263
North Deborahport, NC 89908",733.767.1308x393,kaitlyntravis@example.com
67,Hamilton Ltd,Hospital,"USCGC Willis
FPO AE 40554",001-592-863-2189x924,mary59@example.net
68,Snyder and Sons,Doctor,"466 Nichole Fords
Margaretberg, RI 85834",578-453-7090,hjohnson@example.com
69,"Sanchez, Ballard and Curtis",Doctor,"14027 Mendoza Unions
East Megan, PR 22528",001-543-867-7471x721,rachelburke@example.org
70,Hernandez-Cook,Clinic,"83829 Jessica Valleys Apt. 586
Port Deanview, MH 50892",958.449.6593x82907,foxjerry@example.org
71,Diaz and Sons,Hospital,"307 Wagner Prairie Suite 618
Stewartchester, WI 79166",(561)348-1903,millerbrendan@example.net
72,Peters Inc,Clinic,"5764 Casey Fords Suite 131
South Jenniferview, ND 54393",432.346.5897x21236,gsmith@example.com
73,Padilla-Adkins,Clinic,"55398 Brown Street
South Joseph, GU 96695",(656)999-3584x709,christopherrobinson@example.com
74,"Hill, Walker and Perry",Hospital,"98744 Freeman Summit Apt. 446
New Amandabury, CA 53568",+1-529-456-8493x85748,hodgejeffery@example.net
75,"Guerra, Bradley and Cameron",Doctor,"32903 Watson Port Suite 200
Barberbury, VT 67973",001-286-227-5791x05826,ruizamy@example.com
