transaction_id,account_id,transaction_type,amount,transaction_date,description
0,1984,Deposit,9269,2024-07-06,Kid short store politics leader.
1,1987,Withdrawal,6046,2024-07-15,Study best goal dark.
2,1427,Deposit,1819,2024-03-18,Example large resource parent.
3,1783,Withdrawal,2319,2024-07-06,Career change north production money middle.
4,1292,Transfer,1999,2023-10-18,Since than someone good.
5,1627,Deposit,9177,2024-02-23,Adult continue a family member indeed almost.
6,843,Transfer,1394,2023-12-03,Ball power everything draw listen lead.
7,1858,Transfer,7623,2024-02-01,Break best such deep enter model evidence.
8,37,Transfer,7998,2024-06-11,Board Congress evening.
9,1490,Deposit,1396,2024-04-01,Dream face author after summer town.
10,1868,Deposit,6919,2024-05-09,Show learn hear address national.
11,1706,Withdrawal,1046,2024-09-27,Use tax car eye tax.
12,1767,Transfer,4113,2024-05-21,Group company significant clearly bit example.
13,1723,Withdrawal,1777,2023-10-04,Newspaper consumer way live bit about together.
14,1523,Withdrawal,5065,2023-12-17,Southern nearly image six.
15,1455,Transfer,1654,2024-04-13,Guy direction through try black.
16,262,Transfer,1487,2024-03-09,Power structure weight woman smile.
17,790,Withdrawal,7273,2024-05-24,Six yard friend center trade.
18,1346,Transfer,2372,2024-01-01,Two share ability analysis imagine.
19,1864,Withdrawal,5024,2024-07-14,Interest poor dream water hit who.
20,1570,Deposit,2046,2024-04-20,Know because seem road firm sit seek.
21,1082,Transfer,2328,2024-04-19,Anyone Democrat ten study push someone.
22,855,Withdrawal,535,2024-01-23,Last across voice everyone go author network.
23,1481,Withdrawal,4964,2023-11-01,Similar down yes third.
24,1492,Withdrawal,6574,2024-03-07,Seem enough onto evening low partner yeah.
25,787,Transfer,4432,2024-05-07,Ago main against street.
26,26,Deposit,8739,2024-08-06,Heavy against contain program people certainly.
27,1556,Withdrawal,2823,2023-11-28,Person shoulder language all seven PM natural.
28,1214,Transfer,1570,2024-09-19,Nation Democrat season finish believe situation.
29,651,Deposit,3014,2024-03-03,Then together sister walk factor future.
30,905,Deposit,2459,2023-10-26,Certain conference true window.
31,264,Deposit,7838,2024-03-06,Factor tend art detail against science teacher score.
32,1943,Transfer,8187,2024-05-21,Time protect red people most director.
33,1183,Transfer,4093,2024-09-04,Whatever join prevent range effect.
34,407,Transfer,2308,2024-06-17,Dark everything ok.
35,1473,Withdrawal,8910,2024-01-18,Enter kid low difference face economy.
36,1256,Withdrawal,7654,2024-07-02,Look do add believe government environment.
37,1856,Transfer,8909,2024-02-23,Its moment response require near list after view.
38,1295,Transfer,615,2024-02-02,Car food lead drop particular.
39,1797,Withdrawal,6482,2024-05-21,Can part indeed why speak base certainly.
